Habitaciones,Area_parqeo,Area_total,Valor_Miles,Clasificacion
4,4.98,153,504000,2
4,9.14,178,453600,2
5,4.03,178,728700,3
4,2.94,187,701400,3
5,5.33,187,760200,2
4,5.21,187,602700,3
4,12.43,152,480900,2
4,19.15,152,569100,3
3,29.93,152,346500,1
4,17.1,152,396900,2
4,20.45,152,315000,1
4,13.27,152,396900,2
3,15.71,152,455700,2
3,8.26,210,428400,2
4,10.26,210,382200,2
3,8.47,210,417900,2
3,6.58,210,485100,2
3,14.67,210,367500,2
3,11.69,210,424200,2
3,11.28,210,382200,2
3,21.02,210,285600,3
3,13.83,210,411600,2
4,18.72,210,319200,1
3,19.88,210,304500,1
3,16.3,210,327600,2
3,16.51,210,291900,1
3,14.81,210,348600,1
4,17.28,210,310800,1
4,12.8,210,386400,2
4,11.98,210,441000,2
3,22.6,210,266700,1
4,13.04,210,304500,1
3,27.71,210,277200,1
3,18.35,210,275100,1
4,20.34,210,283500,1
3,9.68,192,396900,2
3,11.41,192,420000,2
3,8.77,192,441000,2
3,10.13,192,518700,2
4,4.32,183,646800,3
5,1.98,183,732900,3
4,4.84,179,558600,3
4,5.81,179,531300,2
4,7.44,179,518700,2
4,9.55,179,445200,2
3,10.21,179,405300,2
3,14.15,179,420000,2
4,18.8,179,348600,1
3,30.81,179,302400,1
3,16.2,179,407400,2
3,13.45,168,413700,2
4,9.43,168,430500,2
4,5.28,168,525000,2
3,8.43,168,491400,2
3,14.8,211,396900,2
5,4.81,179,743400,3
4,5.77,173,518700,2
4,3.95,151,663600,4
4,6.86,197,489300,2
3,9.22,197,411600,2
3,13.15,197,392700,2
3,14.44,197,336000,1
4,6.73,197,466200,2
4,9.5,197,525000,2
5,8.05,186,693000,3
4,4.67,161,493500,2
3,10.24,161,407400,2
3,8.1,189,462000,2
3,13.09,189,365400,2
3,8.79,189,438900,2
4,6.72,192,508200,2
3,9.88,192,455700,2
4,5.52,192,478800,2
4,7.54,192,491400,2
4,6.78,187,506100,2
4,8.94,187,449400,2
4,11.97,187,420000,2
4,10.27,187,436800,2
4,12.34,187,445200,2
3,9.1,187,426300,2
4,5.29,190,588000,3
4,7.22,190,501900,2
4,6.72,190,520800,2
4,7.51,190,480900,2
4,9.62,185,501900,1
4,6.53,185,558600,3
4,12.86,185,472500,2
4,8.44,185,466200,2
5,5.5,178,495600,2
5,5.7,178,602700,3
4,8.81,178,474600,2
4,8.2,178,462000,2
4,8.16,182,480900,2
4,6.21,182,525000,2
4,10.59,182,432600,2
4,6.65,180,596400,3
4,11.34,180,449400,2
6,4.21,180,812700,4
5,3.57,180,919800,4
5,6.19,180,697200,3
4,9.42,209,577500,3
4,7.67,209,556500,3
4,10.63,209,390600,2
4,13.44,209,405300,2
4,12.33,209,422100,2
3,16.47,209,409500,2
3,18.66,209,409500,2
4,14.09,209,428400,2
4,12.27,209,415800,2
4,15.55,209,407400,2
4,13,209,455700,2
4,10.16,178,478800,2
3,16.21,178,394800,2
4,17.09,178,392700,2
4,10.45,178,388500,2
3,15.76,178,384300,2
4,12.04,178,445200,2
4,10.3,178,403200,2
3,15.37,178,428400,2
3,13.61,178,405300,2
3,14.37,191,462000,2
4,14.27,191,426300,2
3,17.93,191,430500,2
3,25.41,191,363300,2
3,17.58,191,394800,2
3,14.81,191,449400,2
3,27.26,191,329700,1
3,17.19,212,340200,1
4,15.39,212,378000,2
3,18.34,212,300300,1
4,12.6,212,403200,2
4,12.26,212,411600,2
4,11.12,212,483000,2
3,15.03,212,386400,2
3,17.31,212,327600,1
4,16.96,212,380100,2
3,16.9,212,365400,2
4,14.59,212,359100,2
3,21.32,212,279300,1
4,18.46,212,373800,2
4,24.16,212,294000,1
3,34.41,212,302400,1
3,26.82,147,281400,1
3,26.42,147,327600,1
2,29.29,147,247800,1
4,27.8,147,289800,1
3,16.65,147,327600,1
2,29.53,147,306600,1
3,28.32,147,373800,2
3,21.45,147,323400,1
4,14.1,147,451500,2
3,13.28,147,411600,2
3,12.12,147,321300,1
3,15.79,147,407400,2
4,15.12,147,357000,2
4,15.02,147,327600,1
3,16.14,147,275100,1
4,4.59,147,867300,4
4,6.43,147,510300,2
4,7.39,147,489300,2
4,5.5,147,567000,3
3,11.64,147,476700,2
4,9.81,147,525000,2
3,12.14,147,499800,2
4,11.1,147,499800,2
4,11.32,147,468300,2
3,14.43,147,365400,2
3,12.03,147,401100,2
3,14.69,166,485100,4
4,9.04,166,495600,2
3,9.64,166,474600,2
